"id1","rank_number","char","cls","atr","bg","rarityscore"
172,2343,"Goat","Magician_v4_c1","Aura Purple","B3",136.28190682453612
173,3641,"Platypus","Mercenary_v2_c2","None","E3",115.63217763872147
174,3757,"Black Cat","Farmer_v3_c1","Antlers","A3",114.34517861448451
175,1532,"Shiba Inu","Magician_v2_c3","Bandana","B2",153.89817739043215
176,3906,"Dog","Farmer_v3_c3","Tattoo 2","E2",113.0378271104383
177,4813,"Platypus","Hunter_v2_c1","None","A1",92.06743284274287
178,1161,"Tiger","Peddler_v2_c2","Pipe","D3",164.22702913273116
179,1332,"Panda","Peddler_v2_c3","Mutton Chop","A3",159.10921754678634
180,549,"Black Red Panda","Hunter_v2_c3","Laser Eyes","B2",193.07343882743902
181,1482,"Crow","Detective_v2_c1","Robotic Hand","A2",154.96421685383413
182,1678,"Owl","Mercenary_v2_c1","Mutton Chop","F3",150.5908061928784
183,4796,"Shiba Inu","Hunter_v2_c3","None","E1",92.50888833307587
184,3817,"Platypus","Bard_v1_c3","Cigar","E3",113.79399194547184
185,3494,"Platypus","Farmer_v1_c1","Tattoo 2","B1",117.53395125629426
186,373,"Black Red Panda","Knight_v1_c1","None","B3",210.54389560919304
187,643,"Tiger","Magician_v3_c2","Antlers","D2",187.28854875283446
188,1651,"Frog 2","Magician_v2_c2","Tattoo 2","E3",151.14746365972755
189,836,"Red Gator","Peddler_v3_c2","None","A3",177.32143814332898
190,4232,"Crow","Farmer_v2_c3","None","G1",109.69325961170591
191,456,"Gator","Medic_v3_c1","Aura Purple","A1",201.2103630072719
192,4630,"Black Cat","Fighter_v3_c2","None","A2",96.86488483292742
193,2660,"Panda","Farmer_v1_c3","Tattoo 4","C1",131.64492739403454
194,3306,"Owl 2","Magician_v1_c2","Spiked Body","E2",120.50515369077861
195,1947,"Husky","Peddler_v2_c3","Crystal Necklace","E1",145.49627064996457
196,2123,"Red Panda","Peddler_v2_c2","Beard","C3",141.6118368514357
197,1079,"Dog","Magician_v2_c2","Fire Eyes","D3",166.19659602533628
198,1483,"Red Black Panda","Medic_v1_c2","Ice Hands","C2",154.94291734330156
199,4309,"Dog","Bard_v1_c3","Marked Skin","A3",108.89673316089554
200,4259,"Frog","Hunter_v1_c1","Tattoo 4","D2",109.55974879099878
201,4212,"Frog","Farmer_v3_c1","Tattoo 4","E1",109.8578787155908
202,696,"Owl 2","Medic_v3_c1","Tattoo 2","A3",184.26453937432888
203,1410,"Platypus","Hunter_v3_c1","Tattoo 2","B1",156.66887189121488
204,3563,"Black Cat","Bard_v1_c2","Ice Hands","A3",116.67828373250069
205,4432,"Frog 2","Hunter_v2_c1","Bubble Pipe","E2",106.73956312904652
206,277,"Red Panda","Magician_v4_c2","None","E2",222.75717500597088
207,2170,"Owl","Bard_v1_c3","Lava Hands","A1",140.62144284752844
208,2051,"Dog","Magician_v1_c2","Techno Skin Purple","G1",143.4372054211196
209,2122,"Stag","Medic_v1_c1","Fire Eyes","B3",141.6190005415377
210,1286,"Shiba Inu","Detective_v2_c3","Crystal Necklace","A3",160.80654892050666
211,4565,"Owl 2","Fighter_v3_c1","None","F2",103.0675107444759
212,4675,"Cat","Fighter_v1_c2","None","B1",95.52811986015311
213,377,"Owl 2","Pirate_v2_c3","Laser Eyes","E1",210.03964555165334
214,3252,"Crow","Farmer_v3_c2","Fire Aura","D3",121.34220563068077
215,3110,"Owl","Detective_v2_c3","None","A3",123.68277823920297
216,2332,"Frog 2","Pirate_v2_c1","Bubble Pipe","A2",136.40115577205472
217,1924,"Platypus","Pirate_v1_c2","Antlers","D1",145.7830669808325
218,97,"White Tiger","Detective_v3_c2","Beard","B3",270.55565152104407
219,2471,"Husky","Detective_v1_c1","None","E1",134.27989848845175
220,858,"Owl","Hunter_v1_c2","Fire Skin","E1",175.73821403113192
221,267,"Owl","Knight_v2_c2","Fire Eyes","E1",225.0379503802612
222,1887,"Black Red Panda","Magician_v2_c2","None","A2",146.89538584765097
223,1017,"Tiger","Peddler_v2_c1","Mustache","D3",168.36104431239852
224,1018,"Red Panda","Detective_v2_c1","Horns 2","A3",168.33078369229273
225,2733,"Goat","Magician_v3_c3","None","A1",130.46386812886612
226,1803,"Goat","Bard_v2_c3","Lava Hands","B3",148.44930942193872
227,4903,"Owl","Hunter_v2_c1","None","A3",88.50155677801575
228,1931,"Rabbit","Mercenary_v3_c2","None","E1",145.65499104178625
229,2781,"Red Panda","Farmer_v1_c3","Techno Skin Blue","B3",129.41347184793278
230,4225,"Husky","Fighter_v3_c1","Tattoo 3","B2",109.76642514365469
231,1377,"Goat","Hunter_v3_c2","Rock Hands","A3",157.64125281831227
232,4041,"Owl 2","Bard_v1_c1","Bandana","D2",111.50834883048805
233,2791,"Platypus","Fighter_v3_c2","Horns 2","A2",129.17171531337507
234,2129,"Rabbit","Peddler_v2_c2","White Eyes","C2",141.5002559983338
235,979,"Tiger","Detective_v1_c1","None","D1",169.7771564138047
236,1025,"Gator","Peddler_v3_c1","Antlers","B1",168.04923839100857
237,2345,"Shiba Inu","Fighter_v3_c3","Tattoo 1","A3",136.27303144693164
238,482,"Nega Tiger","Hunter_v2_c1","Monocle","A3",198.77088925237805
239,3029,"Red Black Panda","Fighter_v1_c1","None","A2",125.4954972623524
240,2185,"Frog 2","Mercenary_v2_c2","Ice Hands","B2",140.1609025036689
241,4607,"Shiba Inu","Farmer_v2_c3","None","B3",98.06732665532849
242,2023,"Gator","Fighter_v1_c1","Techno Skin Blue","D3",144.0727309379454
243,2590,"Husky","Mercenary_v1_c3","Antlers","D1",132.7200275302358
244,1540,"Frog","Detective_v2_c2","Ice Hands","E3",153.82585763336317
245,2163,"Crow","Mercenary_v1_c3","Sunglasses","E1",140.8315601653752
246,1303,"Owl","Detective_v1_c2","Ice Hands","D1",160.25240919841755
247,462,"White Tiger","Bard_v1_c2","Ice Hands","E3",200.72801356589147
248,3037,"Shiba Inu","Medic_v1_c2","Bandana","G1",125.32212708046553
249,1948,"Husky","Detective_v1_c3","Earring","A1",145.4914474192911
250,883,"Stag","Hunter_v3_c2","Tattoo 2","B2",174.49828130316624
251,986,"Stag","Magician_v3_c1","Aura Purple","A2",169.44851031482915
252,2664,"Shiba Inu","Mercenary_v2_c2","Antlers","A1",131.55645319993118
253,1114,"Stag","Magician_v3_c3","Bubble Pipe","E1",165.3470018817729
254,2437,"Frog","Pirate_v2_c2","Tattoo 3","A1",134.8900304211034
255,825,"Owl 2","Detective_v2_c1","Head Tech","E1",177.9428766309189
256,3586,"Husky","Farmer_v3_c1","Aura Aqua","A2",116.34162181893863
257,1745,"Dog","Magician_v3_c1","Antlers","E1",149.310792969608
258,194,"Rabbit","Magician_v4_c2","Bubble Pipe","B1",238.42743994675894
259,2992,"Stag","Farmer_v1_c2","Tattoo 5","B1",126.01812726087421
260,3191,"Red Panda","Farmer_v3_c2","Beard","F3",122.40014853974739
261,725,"Black Cat","Pirate_v1_c3","Antlers","A3",182.71618701784587
262,4076,"Red Panda","Hunter_v1_c2","Tattoo 4","E1",111.01031070844024
263,1109,"Platypus","Pirate_v1_c3","None","A1",165.4052019229777
264,4645,"Black Cat","Farmer_v2_c3","None","E2",96.20349824494392
265,2599,"Frog","Mercenary_v2_c3","Rock Hands","A3",132.62137966820657
266,2430,"Red Panda","Fighter_v1_c3","Head Tech","A3",134.9710241510677
267,3780,"Frog","Bard_v1_c1","Marked Skin","B1",113.97740268706781
268,777,"White Tiger","Farmer_v2_c2","None","E2",179.82704527245056
269,4201,"Platypus","Bard_v3_c2","None","D2",109.91397002269409
270,3439,"Rabbit","Bard_v1_c2","Techno Skin Purple","A3",118.37237530912088
271,2435,"Owl 2","Fighter_v3_c1","Mohawk","A3",134.8911724863443
272,147,"Gold Hart","Medic_v3_c2","None","A2",249.88571316425993
273,3323,"Frog","Farmer_v3_c3","Tattoo 2","F1",120.0980071208332
274,3201,"Owl","Peddler_v1_c2","Ice Hands","D3",122.1383995365818
275,120,"Black Cat","Peddler_v1_c2","Diamond Hands","A2",258.07873820036133
276,3509,"Shiba Inu","Hunter_v2_c1","Monocle","B1",117.28831283506871
277,3088,"Red Panda","Farmer_v3_c2","Ice Hands","D3",124.2852988423378
278,1086,"Rabbit","Mercenary_v2_c3","Lava Hands","E3",165.98746618231985
279,1903,"Panda","Bard_v2_c1","Crystal Necklace","F1",146.44756166650578
280,1046,"Stag","Peddler_v2_c3","Monocle","G1",167.4659071468734
281,4699,"Shiba Inu","Hunter_v1_c1","None","A3",94.89023087154794
282,3555,"Husky","Farmer_v2_c1","Marked Skin","B1",116.76051070643354
283,265,"Gold Hart","Magician_v3_c2","None","C1",225.33903519855292
284,2787,"Shiba Inu","Peddler_v2_c2","Tattoo 1","A2",129.22659339475456
285,3560,"Frog 2","Farmer_v1_c2","White Eyes","D1",116.69150062992672
286,3647,"Platypus","Farmer_v2_c2","Beard","A1",115.50857320283977
287,1237,"Crow","Peddler_v3_c2","Tattoo 4","B2",162.2899939126602
288,2847,"Cat","Farmer_v1_c1","Crystal Necklace","B2",128.0682073357106
289,2724,"Panda","Magician_v1_c1","White Eyes","A1",130.52339695352362
290,3321,"Platypus","Farmer_v2_c3","Cigar","D3",120.19737937245581
291,860,"Frog 2","Peddler_v1_c3","Techno Skin Purple","A1",175.72138350299429
292,3665,"Platypus","Farmer_v2_c2","Tattoo 2","A3",115.33156142310983
293,3117,"Black Red Panda","Bard_v2_c1","Beard","A1",123.48171888361766
294,908,"Crow","Mercenary_v1_c2","Electric","F2",173.01089518372126
295,2902,"Black Red Panda","Peddler_v1_c1","Bubble Pipe","E3",127.25370652965621
296,1500,"Shiba Inu","Fighter_v3_c1","Unicorn","A3",154.4258553387261
297,2468,"Owl","Mercenary_v1_c2","Marked Skin","E3",134.36426636233784
298,4632,"Rabbit","Bard_v2_c2","None","B1",96.69161826115855
299,519,"Gator","Bard_v1_c3","Fire Skin","C2",195.02769095044314
300,1103,"Owl","Detective_v1_c1","Fire Eyes","A1",165.6342192026288
301,2023,"Panda","Peddler_v1_c1","Techno Skin Purple","D1",144.0727309379454
302,4325,"Red Panda","Bard_v1_c1","Bubble Pipe","A1",108.66884385686645
303,3007,"Panda","Medic_v1_c2","Horns","A3",125.83825724527675
304,580,"Rabbit","Pirate_v3_c2","Fire Aura","E1",190.16971214761992
305,6,"Goat","Cosmonaut_v1_c1","None","F2",4960.480224533997
306,289,"Platypus","Detective_v3_c2","Lava Hands","E2",220.7442212217841
307,1280,"Dog","Mercenary_v3_c2","Pipe","A1",160.96850925256098
308,1827,"Goat","Peddler_v1_c1","Electric","E1",147.719504080493
309,1352,"Shiba Inu","Hunter_v3_c2","Tattoo 2","A3",158.45904723530273
310,3197,"Platypus","Farmer_v2_c3","Sunglasses","A3",122.22271049143282
311,84,"Frog","Medic_v3_c3","Tattoo 5","E3",283.9138871429569
312,1376,"Platypus","Mercenary_v1_c1","Head Tech","E2",157.64785153144888
313,4400,"Frog 2","Farmer_v2_c3","Tattoo 4","E2",107.64359974342679
314,2050,"Frog","Pirate_v2_c1","Spiked Body","E3",143.51735936517912
315,1536,"Cat","Peddler_v3_c1","Tattoo 1","F3",153.8687640200352
316,2106,"Frog","Fighter_v3_c3","Aura Aqua","E3",142.08679714028915
317,3338,"Husky","Hunter_v1_c3","Tattoo 2","F3",119.89691231480154
318,2056,"Rabbit","Detective_v2_c3","Beard","A3",143.2080956888373
319,506,"Crow","Medic_v3_c1","Techno Skin Blue","B2",196.55315302333645
320,2455,"Cat","Pirate_v1_c1","Earring","A3",134.6004341463787
321,720,"Gator","Magician_v3_c3","Sunglasses","C2",183.1927511584344
322,1542,"Red Black Panda","Mercenary_v1_c3","None","F1",153.76109594204223
323,2882,"Black Red Panda","Bard_v1_c1","Beard","B2",127.55987045166805
324,3386,"Frog","Mercenary_v2_c3","None","C2",119.13476998854236
325,4786,"Cat","Magician_v1_c1","None","E2",92.67966123539263
326,2985,"Frog 2","Fighter_v3_c3","None","F2",126.05469512578887
327,2950,"Gator","Medic_v1_c2","Aura Aqua","A2",126.57082042455535
328,667,"Gold Hart","Bard_v1_c2","Tattoo 5","A3",185.63732930809527
329,1962,"Rabbit","Farmer_v1_c3","Electric","A3",145.32868409166255
330,4456,"Owl 2","Medic_v1_c2","Bandana","A1",106.49592123957795
331,330,"Owl","Detective_v3_c2","Lava Hands","A3",215.7715412345197
332,3442,"Rabbit","Hunter_v2_c3","Horns","C1",118.29760524785696
333,3097,"Dog","Magician_v1_c2","Cigar","C2",124.00853332988883
334,2248,"Shiba Inu","Pirate_v2_c2","Tattoo 3","A1",138.44026303076225
335,1619,"Red Panda","Magician_v3_c1","Tattoo 1","D2",152.03868112174564
336,715,"Goat","Fighter_v1_c1","Fire Skin","F1",183.67611806536095
337,2759,"Stag","Peddler_v2_c3","None","D3",130.14115325109975
338,1285,"Dog","Mercenary_v3_c2","Bandana","A2",160.82007709522424
339,3116,"Owl","Hunter_v1_c1","Horns 2","A3",123.53764873812719
340,4312,"Cat","Farmer_v3_c3","Earring","E1",108.87058173157067
341,245,"Tiger","Pirate_v3_c2","Fire Eyes","A1",228.05282396348537
342,3883,"Husky","Magician_v1_c1","Cigar","A3",113.2978874385063
343,4892,"Dog","Bard_v1_c3","None","B2",89.74200833437094
344,1750,"Platypus","Magician_v3_c3","Tattoo 1","A1",149.23664862347812
345,451,"Goat","Knight_v1_c3","Earring","E3",201.85028477310453
346,4875,"Dog","Medic_v1_c3","None","D2",90.67628435723064
347,2405,"Black Red Panda","Hunter_v2_c2","Mutton Chop","A3",135.63954927184483
348,3784,"Owl","Hunter_v1_c2","Spiked Body","A3",113.94959318257163
349,209,"Owl","Magician_v4_c2","Pipe","A3",235.05712065509906
350,2193,"Frog 2","Fighter_v3_c3","Mustache","D1",139.9631573425472
351,1001,"Black Cat","Magician_v4_c3","Feathered Wings","E1",169.09067393520326
352,1012,"Cat","Mercenary_v3_c2","Aura Aqua","E3",168.61943244939505
353,3256,"Husky","Bard_v3_c2","Tattoo 1","D3",121.26234447255274
354,3948,"Crow","Bard_v1_c2","Antlers","F3",112.36385448512567
355,1090,"Owl","Medic_v3_c2","None","A1",165.9719725692986
356,4677,"Frog","Peddler_v1_c2","None","B2",95.51519996473647
357,4318,"Stag","Hunter_v1_c3","None","A2",108.78137618581523
358,2948,"Stag","Bard_v1_c3","Robotic Hand","E3",126.59577060705664
359,2703,"Shiba Inu","Mercenary_v1_c3","Tattoo 4","A2",130.76713179154297
360,4208,"Rabbit","Bard_v2_c1","Marked Skin","A2",109.88305326703993
361,4877,"Owl 2","Medic_v1_c3","None","A2",90.66199632487032
362,1121,"Stag","Magician_v2_c1","Tattoo 1","B2",165.203768782769
363,134,"Black Cat","Bard_v3_c3","Marked Skin","C2",252.49698691874508
